category,period,amount,actual_roi
NEBRASKA,2001-01,6111217,0.9726249288807778
NEBRASKA,2002-01,6536970,0.9181516818954347
NEBRASKA,2003-01,6823849,1.0676100834001456
NEBRASKA,2004-01,6974335,1.197059791363621
NEBRASKA,2012-01,9457023,1.0388240569997556
NEBRASKA,2013-01,9776577,1.1960881605085296
NEBRASKA,2014-01,10062871,1.2021407210725448
NEBRASKA,2015-01,10375930,1.059482475305828
NEBRASKA,2016-01,10663426,0.9971059957653384
NEBRASKA,2017-01,10885615,1.1297013535753377
NEBRASKA,2018-01,11058480,1.125560926999009
NEBRASKA,2019-01,11149997,1.1023663952555323
NEVADA,1992-01,3825931,1.0336106427429037
NEVADA,1993-01,4050542,1.104537614966096
NEVADA,1994-01,4202574,1.134229165268714
NEVADA,1995-01,4581276,1.1957205809036608
NEVADA,1996-01,4831342,1.2426110592046682
NEVADA,1997-01,5129625,1.2660471282013792
NEVADA,1998-01,5397584,1.356156569309528
NEVADA,1999-01,6103167,1.2408197252344562
NEVADA,2000-01,6047267,1.204689490310251
NEVADA,2001-01,6747035,0.9847135815954712
NEVADA,2002-01,7410738,0.9294835413153184
NEVADA,2003-01,7816481,1.0684274675522143
NEVADA,2004-01,8575428,1.1890426926795956
NEVADA,2012-01,13118898,1.0458941749528048
NEVADA,2013-01,12973599,1.306259273159283
NEVADA,2014-01,13128288,1.3924485050906865
NEVADA,2015-01,14080059,1.167009811535591
NEVADA,2016-01,14656453,1.1456655986274442
NEVADA,2017-01,16216524,1.3512059674440713
NEVADA,2018-01,17410690,1.2651082754330816
NEVADA,2019-01,17769897,1.2947618098180311
NEW HAMPSHIRE,1992-01,2871051,0.9949938193365426
NEW HAMPSHIRE,1993-01,2897994,0.9917335922710675
NEW HAMPSHIRE,1994-01,3178735,0.9692761428681536
NEW HAMPSHIRE,1995-01,3095874,1.056179611960952
NEW HAMPSHIRE,1996-01,3240034,1.0990116153102096
NEW HAMPSHIRE,1997-01,3323538,1.0713733376901362
NEW HAMPSHIRE,1998-01,3477180,1.153319068900661
NEW HAMPSHIRE,1999-01,3594322,1.1196186652169728
NEW HAMPSHIRE,2000-01,4366072,1.1436293308951386
NEW HAMPSHIRE,2001-01,4411243,1.0370836519321198
NEW HAMPSHIRE,2002-01,4822727,0.9613596208120426
NEW HAMPSHIRE,2003-01,5276466,0.9868036674546941
NEW HAMPSHIRE,2004-01,5538549,1.0375564069217407
NEW HAMPSHIRE,2012-01,7594938,0.9456879042330563
NEW HAMPSHIRE,2013-01,7610929,1.1079410936562408
NEW HAMPSHIRE,2014-01,7663950,1.1108993404184526
NEW HAMPSHIRE,2015-01,8010099,1.0018723863462862
NEW HAMPSHIRE,2016-01,8534007,0.9752282837358817
NEW HAMPSHIRE,2017-01,8797525,1.0791643104168502
NEW HAMPSHIRE,2018-01,8889600,1.0958308585313175
NEW HAMPSHIRE,2019-01,9050114,1.0524405548924578
NEW JERSEY,1992-01,29316217,0.9865458425280451
NEW JERSEY,1993-01,28922752,1.0237886422426192
NEW JERSEY,1994-01,29605770,1.0068213392186727
NEW JERSEY,1995-01,32605483,1.0021385053550655
NEW JERSEY,1996-01,32314887,1.1096188886564882
NEW JERSEY,1997-01,29429586,1.2262067499012728
NEW JERSEY,1998-01,31701874,1.1673544283218085
NEW JERSEY,1999-01,32058406,1.221208471812354
NEW JERSEY,2000-01,34783171,1.217250117880282
NEW JERSEY,2001-01,37659554,1.1361838751462643
NEW JERSEY,2002-01,41987647,0.7790205771711856
NEW JERSEY,2003-01,44947598,1.0251406537897754
NEW JERSEY,2004-01,48975600,1.042177839577259
NEW JERSEY,2012-01,71913710,0.8373932314158177
NEW JERSEY,2013-01,72462324,0.9846812807163071
NEW JERSEY,2014-01,75090096,0.9979276894252472
NEW JERSEY,2015-01,76152869,0.9248112241181616
NEW JERSEY,2016-01,77324516,0.8669798851375934
NEW JERSEY,2017-01,75987690,1.0792863686210228
NEW JERSEY,2018-01,78050214,1.0898318997562262
NEW JERSEY,2019-01,80668031,1.0750284706961548
NEW MEXICO,1992-01,5183563,1.0769370411819053
NEW MEXICO,1993-01,5599499,1.12561588099221
NEW MEXICO,1994-01,5995357,1.1189518822648927
NEW MEXICO,1995-01,6363127,1.0426412988456777
NEW MEXICO,1996-01,6747602,1.2068189558305307
NEW MEXICO,1997-01,7058693,1.1600124838975148
NEW MEXICO,1998-01,7539619,1.2014596493536345
NEW MEXICO,1999-01,8089399,1.0825131755770732
NEW MEXICO,2000-01,8700579,1.2149085710272844
NEW MEXICO,2001-01,9173756,0.9918755196889911
NEW MEXICO,2002-01,10083987,0.8673407651160201
NEW MEXICO,2003-01,10672603,0.9227045173515777
NEW MEXICO,2004-01,11233417,1.0544517309381465
NEW MEXICO,2012-01,16978696,0.9171234940539603
NEW MEXICO,2013-01,17113543,1.064180281079143
NEW MEXICO,2014-01,17675570,1.1487635759412567
NEW MEXICO,2015-01,20012259,0.9673554594711172
NEW MEXICO,2016-01,20808142,0.8896738593959999
NEW MEXICO,2017-01,20735008,1.0142283523594493
NEW MEXICO,2018-01,21503299,0.9842313032990891
NEW MEXICO,2019-01,22156771,1.0950363660842097
NEW YORK,1992-01,73153357,1.0243361217175584
NEW YORK,1993-01,74279884,1.0529017654362518
NEW YORK,1994-01,76871574,1.069335499751833
NEW YORK,1995-01,81371988,1.1182854473212576
NEW YORK,1996-01,82420166,1.1438643668832214
NEW YORK,1997-01,83243290,1.1465477878156907
NEW YORK,1998-01,87338292,1.1006791957873414
NEW YORK,1999-01,92583501,1.1043205419505577
NEW YORK,2000-01,96924806,1.1493142116786903
NEW YORK,2001-01,106598603,1.0547846485380301
NEW YORK,2002-01,119198996,0.8769672355293999
NEW YORK,2003-01,127475233,0.927823964047981
NEW YORK,2004-01,132897176,1.0426363160643835
NEW YORK,2012-01,181240199,0.9563278067245997
NEW YORK,2013-01,186993298,1.0289195658766337
NEW YORK,2014-01,178866850,1.141568155306587
NEW YORK,2015-01,189878434,1.0296124677329075
NEW YORK,2016-01,194351031,0.9426771808583819
NEW YORK,2017-01,200001828,1.0889009324454775
NEW YORK,2018-01,211161164,1.0832323693764068
NEW YORK,2019-01,218317054,1.0297883966499475
NORTH CAROLINA,1992-01,16045514,1.1008647650676693
NORTH CAROLINA,1993-01,16915667,1.1453285879888744
NORTH CAROLINA,1994-01,19039785,1.1056270855999688
NORTH CAROLINA,1995-01,20436613,1.0809684070447485
NORTH CAROLINA,1996-01,21220754,1.1021046660264757
NORTH CAROLINA,1997-01,22864451,1.1164360342612205
NORTH CAROLINA,1998-01,24604942,1.3544829733799006
NORTH CAROLINA,1999-01,26830081,1.2696171882597
NORTH CAROLINA,2000-01,29615132,1.1602649618445058
NORTH CAROLINA,2001-01,31626851,1.0182091160450972
NORTH CAROLINA,2002-01,33123528,0.95169838188734
NORTH CAROLINA,2003-01,34360977,0.8743344230287747
NORTH CAROLINA,2004-01,37094848,1.1961542745774292
NORTH CAROLINA,2012-01,54583961,0.9579268715951194
NORTH CAROLINA,2013-01,56750314,1.0554962391926148
NORTH CAROLINA,2014-01,55353350,1.1475568506693814
NORTH CAROLINA,2015-01,54871243,1.0465441433502791
NORTH CAROLINA,2016-01,55720833,1.0244858507409607
NORTH CAROLINA,2017-01,58259312,1.1986857482971993
NORTH CAROLINA,2018-01,60928626,1.134757494777578
NORTH CAROLINA,2019-01,64503622,1.1092654765960275
NORTH DAKOTA,1992-01,2000615,1.0046950562701968
NORTH DAKOTA,1993-01,2119789,1.0602861888612498
NORTH DAKOTA,1994-01,2083430,1.0986579822696227
NORTH DAKOTA,1995-01,2212660,1.1065776034275487
NORTH DAKOTA,1996-01,2063612,1.2447276910582028
NORTH DAKOTA,1997-01,2425660,1.1615820024240826
NORTH DAKOTA,1998-01,2526823,1.2381001755959955
NORTH DAKOTA,1999-01,2674523,1.0976132940341137
NORTH DAKOTA,2000-01,2855663,1.153987707933324
NORTH DAKOTA,2001-01,2897950,1.1640104211597853
NORTH DAKOTA,2002-01,3020393,0.9988186967722412
NORTH DAKOTA,2003-01,3121369,1.0761646572385386
NORTH DAKOTA,2004-01,3254983,1.607881208596174
NORTH DAKOTA,2012-01,6327215,1.1752229061285258
NORTH DAKOTA,2013-01,6423374,1.4258143773038905
NORTH DAKOTA,2014-01,7529613,1.3274886770409051
NORTH DAKOTA,2015-01,7941790,1.2337557402046642
NORTH DAKOTA,2016-01,8302530,0.8808624599971334
NORTH DAKOTA,2017-01,7781327,1.0088685387466687
NORTH DAKOTA,2018-01,7197074,1.2456549703393351
NORTH DAKOTA,2019-01,7721630,1.2329694637013169
OHIO,1992-01,30424614,1.108064509873486
OHIO,1993-01,31664809,1.2108537588210306
OHIO,1994-01,33421575,1.2218563009074228
OHIO,1995-01,34990296,1.180500130664799
OHIO,1996-01,35517336,1.230617465228811
OHIO,1997-01,37406884,1.209667610913542
OHIO,1998-01,39209266,1.2275941865374373
OHIO,1999-01,41113309,1.2471177399026676
OHIO,2000-01,44630567,1.2384694552502549
OHIO,2001-01,47880092,1.1028100990282141
OHIO,2002-01,53473400,0.8188741879139909
OHIO,2003-01,56392224,0.8849549895389832
OHIO,2004-01,58679448,1.3007596288226841
OHIO,2012-01,76768108,0.9013906920827071
OHIO,2013-01,76412160,1.1510431454888856
OHIO,2014-01,80733876,1.1808066665844212
OHIO,2015-01,82701205,1.004881500819728
OHIO,2016-01,85802240,0.9044727736711768
OHIO,2017-01,87020358,1.1495546249074269
OHIO,2018-01,88495099,1.1675139772429657
OHIO,2019-01,89326118,0.9799696433690313
OKLAHOMA,1992-01,8183213,1.0105723754227098
OKLAHOMA,1993-01,8272337,1.0408148265719832
OKLAHOMA,1994-01,8492554,1.081425917338883
OKLAHOMA,1995-01,8989785,1.0189284838291461
OKLAHOMA,1996-01,9265486,1.1450132243467854
OKLAHOMA,1997-01,9592711,1.1808801495218608
OKLAHOMA,1998-01,9952733,1.2243765606894106
OKLAHOMA,1999-01,10655464,1.120090500047675
OKLAHOMA,2000-01,10629560,1.2339321665242964
OKLAHOMA,2001-01,13467982,0.9463872167337319
OKLAHOMA,2002-01,14727332,0.8918106144412308
OKLAHOMA,2003-01,15125090,0.9863564448211548
OKLAHOMA,2004-01,14959183,1.1808021200088268
OKLAHOMA,2012-01,22730143,1.0251178798127227
OKLAHOMA,2013-01,23045870,1.1677111777511546
OKLAHOMA,2014-01,23883287,1.1792147370669708
OKLAHOMA,2015-01,24156873,1.044459231126479
OKLAHOMA,2016-01,24714458,0.9210111749163182
OKLAHOMA,2017-01,25237314,1.0846489448124312
OKLAHOMA,2018-01,25320989,1.0866925853488583
OKLAHOMA,2019-01,25351517,1.1205968068893077
OREGON,1992-01,7978532,1.2576448900624826
OREGON,1993-01,9012743,1.2011537442041784
OREGON,1994-01,9104326,1.1957357414486256
OREGON,1995-01,11029980,1.177329061340093
OREGON,1996-01,11857897,1.325940932021926
OREGON,1997-01,12388248,1.2111822430419539
OREGON,1998-01,13465691,1.1650568099327394
OREGON,1999-01,13964746,1.1218325059403158
OREGON,2000-01,15776050,1.3318593691069691
OREGON,2001-01,16321295,1.1162482511344842
OREGON,2002-01,18029157,0.8217401401518662
OREGON,2003-01,18005773,1.0692176892377794
OREGON,2004-01,18587228,1.317479776973737
OREGON,2012-01,29908797,0.8813190647554296
OREGON,2013-01,29745209,1.1697132133110915
OREGON,2014-01,32738873,1.1554859875598038
OREGON,2015-01,34495603,1.0300160863980259
OREGON,2016-01,36172358,0.9268403237632449
OREGON,2017-01,36909588,1.1712912915744278
OREGON,2018-01,39434049,1.1252861201242612
OREGON,2019-01,41519679,1.080308665199459
PENNSYLVANIA,1992-01,34821691,1.0539101906337633
PENNSYLVANIA,1993-01,34359276,1.101349312482603
PENNSYLVANIA,1994-01,37817993,1.0114843482043059
PENNSYLVANIA,1995-01,39394469,1.0157617557936878
PENNSYLVANIA,1996-01,38698546,1.1058828928611426
PENNSYLVANIA,1997-01,39296244,1.2550189020609706
PENNSYLVANIA,1998-01,40803540,1.1887079160288543
PENNSYLVANIA,1999-01,44236777,1.1185651251220223
PENNSYLVANIA,2000-01,47681749,1.1433585626231957
PENNSYLVANIA,2001-01,51488402,0.8912199294901403
PENNSYLVANIA,2002-01,55170768,0.836756957960056
PENNSYLVANIA,2003-01,57428466,0.861234966645287
PENNSYLVANIA,2004-01,56969147,1.2149150486666054
PENNSYLVANIA,2012-01,86996108,0.869186653729383
PENNSYLVANIA,2013-01,87901101,1.031931818464936
PENNSYLVANIA,2014-01,88863423,1.0007921481935262
PENNSYLVANIA,2015-01,90222271,0.970596494960762
PENNSYLVANIA,2016-01,96739063,0.9344427907059634
PENNSYLVANIA,2017-01,103608416,1.0033349800464086
PENNSYLVANIA,2018-01,102297163,1.0813910157019702
PENNSYLVANIA,2019-01,108643120,1.0078255208429212
RHODE ISLAND,1992-01,4174717,0.9063701803020421
RHODE ISLAND,1993-01,3979032,0.9670253971317647
RHODE ISLAND,1994-01,3745364,1.1029181676333728
RHODE ISLAND,1995-01,4265140,0.9745136150278771
RHODE ISLAND,1996-01,4061406,1.0526773240596976
RHODE ISLAND,1997-01,4001776,1.0568577551567104
RHODE ISLAND,1998-01,3964337,1.1193644738073478
RHODE ISLAND,1999-01,4378203,1.2512400635603238
RHODE ISLAND,2000-01,4648008,1.202478567162535
RHODE ISLAND,2001-01,5261376,1.042434526633337
RHODE ISLAND,2002-01,5766687,0.8481911711178359
RHODE ISLAND,2003-01,5976510,0.9798340503069517
RHODE ISLAND,2004-01,6373515,1.1456202738990966
RHODE ISLAND,2012-01,8308171,0.9801584488330826
RHODE ISLAND,2013-01,8112281,1.1315118398881894
RHODE ISLAND,2014-01,8561274,1.0749814805600195
RHODE ISLAND,2015-01,8900825,0.9992171512191286
RHODE ISLAND,2016-01,8884859,0.9834344022792033
RHODE ISLAND,2017-01,9166091,1.0872210411177459
RHODE ISLAND,2018-01,9500045,1.080336672089448
RHODE ISLAND,2019-01,9840595,1.062907781490855
SOUTH CAROLINA,1992-01,9715357,1.0187473296143414
SOUTH CAROLINA,1993-01,10388282,1.023944767768145
SOUTH CAROLINA,1994-01,11209055,1.0052909901860594
SOUTH CAROLINA,1995-01,11623103,1.0382697288323093
SOUTH CAROLINA,1996-01,12399928,1.016284852621725
SOUTH CAROLINA,1997-01,12847221,1.0745320719554836
SOUTH CAROLINA,1998-01,13574926,1.1199313351689726
SOUTH CAROLINA,1999-01,14482992,1.0057495025889678
SOUTH CAROLINA,2000-01,16236728,0.9833157887475851
SOUTH CAROLINA,2001-01,18078717,0.9328775377146509
SOUTH CAROLINA,2002-01,20009040,0.8494558959350373
SOUTH CAROLINA,2003-01,21039752,0.9348611143325264
SOUTH CAROLINA,2004-01,21550915,1.0122374850441385
SOUTH CAROLINA,2012-01,27668443,0.9162116567238713
SOUTH CAROLINA,2013-01,28257170,1.036617042683326
SOUTH CAROLINA,2014-01,29154992,1.1066411885827305
SOUTH CAROLINA,2015-01,30366641,0.9995930073398634
SOUTH CAROLINA,2016-01,31336271,0.9447762626255051
SOUTH CAROLINA,2017-01,33405742,1.0564176362255326
SOUTH CAROLINA,2018-01,34841911,1.0393929311167807
SOUTH CAROLINA,2019-01,34572637,1.0469614163362777
SOUTH DAKOTA,1992-01,1564882,1.1221389216567128
SOUTH DAKOTA,1993-01,1686426,1.151642586155574
SOUTH DAKOTA,1994-01,1825640,1.1181361056944414
SOUTH DAKOTA,1995-01,1879678,1.1118297921239702
SOUTH DAKOTA,1996-01,1983498,1.1512872712752924
SOUTH DAKOTA,1997-01,2070482,1.118412041254162
SOUTH DAKOTA,1998-01,2244814,1.2804076417912575
SOUTH DAKOTA,1999-01,2271671,1.2703679362020293
SOUTH DAKOTA,2000-01,2403103,1.2072507919968474
SOUTH DAKOTA,2001-01,2690165,1.1787228664412777
SOUTH DAKOTA,2002-01,2771705,0.9019819930331691
SOUTH DAKOTA,2003-01,2898044,1.035125070564836
SOUTH DAKOTA,2004-01,3027787,1.2760544252287231
SOUTH DAKOTA,2012-01,4508858,0.9632113053904114
SOUTH DAKOTA,2013-01,4563817,1.2656302827216779
SOUTH DAKOTA,2014-01,4681730,1.2985718954318168
SOUTH DAKOTA,2015-01,4773791,0.9956332399135195
SOUTH DAKOTA,2016-01,5078806,0.8861064982596303
SOUTH DAKOTA,2017-01,5139886,1.1801308433688997
SOUTH DAKOTA,2018-01,5247974,1.0770196270027252
SOUTH DAKOTA,2019-01,5342988,1.0050301441814955
TENNESSEE,1992-01,10405568,1.1012160028169533
TENNESSEE,1993-01,11027994,1.1260896587357592
TENNESSEE,1994-01,11940244,1.0657251225351845
TENNESSEE,1995-01,13432374,0.9603597993921253
TENNESSEE,1996-01,13722981,1.0754954772581846
TENNESSEE,1997-01,14284301,1.0988496391948055
TENNESSEE,1998-01,14775178,1.1285961495692303
TENNESSEE,1999-01,15889978,1.063794298519482
TENNESSEE,2000-01,16853438,1.125578947156064
TENNESSEE,2001-01,18385079,0.9433863188730383
TENNESSEE,2002-01,20029048,0.8962947714739113
TENNESSEE,2003-01,21021917,0.9782343351465045
TENNESSEE,2004-01,22250066,1.0744811723255112
TENNESSEE,2012-01,31067206,0.9650691793784095
TENNESSEE,2013-01,30167208,1.0687923125003813
TENNESSEE,2014-01,30754205,1.1018869452161095
TENNESSEE,2015-01,30842097,0.9756707528674201
TENNESSEE,2016-01,31907326,0.9802448816926871
TENNESSEE,2017-01,32687273,1.1191609040007713
TENNESSEE,2018-01,33752272,1.079656445053536
TENNESSEE,2019-01,35197915,1.1434804021772311
TEXAS,1992-01,33893797,1.0834373912135014
TEXAS,1993-01,39080298,1.0751968933297285
TEXAS,1994-01,40966651,1.0993060916793027
TEXAS,1995-01,44643310,1.1070311094764256
TEXAS,1996-01,46081839,1.1166906772101695
TEXAS,1997-01,48887370,1.3063503722945211
TEXAS,1998-01,51064773,1.1320355228055161
TEXAS,1999-01,54761328,1.308380121826118
TEXAS,2000-01,60425369,1.196892848101598
TEXAS,2001-01,64685858,1.0129763603042878
TEXAS,2002-01,70036258,0.8622234643090155
TEXAS,2003-01,76386043,1.0816285901862988
TEXAS,2004-01,77163705,1.1726984208443594
TEXAS,2012-01,125554913,0.9813810710856053
TEXAS,2013-01,123646575,1.1235895697070462
TEXAS,2014-01,130357427,1.1826286660291323
TEXAS,2015-01,136514037,0.9790436422299928
TEXAS,2016-01,144881577,0.9898630106711221
TEXAS,2017-01,146454872,1.134995611480921
TEXAS,2018-01,156921554,1.1174403804336528
TEXAS,2019-01,163424749,1.03264219790847
UNITED STATES,1998-01,930036567,1.178299785066408
UTAH,1992-01,4480789,1.0972612189505018
UTAH,1993-01,4833722,1.1063834453036396
UTAH,1994-01,5132453,1.1509502376349088
UTAH,1995-01,5780232,1.0941782267562963
UTAH,1996-01,6171775,1.0960151658153447
UTAH,1997-01,6817750,1.1328758021341352
UTAH,1998-01,7470282,1.1729191749387775
UTAH,1999-01,7809598,1.1194163899345395
UTAH,2000-01,8591768,1.190366755713143
UTAH,2001-01,9253469,0.9868359638963506
UTAH,2002-01,10107055,0.837813487707349
UTAH,2003-01,10252051,1.1250588784624658
UTAH,2004-01,10794264,1.2198932692400335
UTAH,2012-01,17391588,0.901862900616091
UTAH,2013-01,17134159,1.0967929035793353
UTAH,2014-01,17660633,1.0923712643821997
UTAH,2015-01,18360434,1.0245116210215945
UTAH,2016-01,19641412,0.9268754201581841
UTAH,2017-01,20376858,1.0986937731028013
UTAH,2018-01,21675691,1.2121551280648908
UTAH,2019-01,22450665,1.0261795808721033
VERMONT,1992-01,1844978,1.0303494133805389
VERMONT,1993-01,1849412,1.0559096620980073
VERMONT,1994-01,1912903,1.059311946293147
VERMONT,1995-01,2013565,1.0298475589315468
VERMONT,1996-01,2061085,1.0412986363978196
VERMONT,1997-01,2123269,1.1161901765626494
VERMONT,1998-01,2295310,1.0336642980686706
VERMONT,1999-01,2602588,1.173740138661978
VERMONT,2000-01,3219388,1.0225222930569413
VERMONT,2001-01,3370929,0.9324135868776827
VERMONT,2002-01,3511510,0.9282639092584102
VERMONT,2003-01,3858957,0.9430887672498035
VERMONT,2004-01,3913616,1.0993899248163335
VERMONT,2012-01,6034907,0.9563637020421358
VERMONT,2013-01,6103135,1.0367335803648452
VERMONT,2014-01,6467887,1.0070782003458008
VERMONT,2015-01,6585027,0.9663096294062272
VERMONT,2016-01,6840342,0.9601799149808592
VERMONT,2017-01,6843630,1.02766967238147
VERMONT,2018-01,6951149,1.0300206483848928
VERMONT,2019-01,6955406,1.0381961886912137
VIRGINIA,1992-01,13920647,1.0984774630087237
VIRGINIA,1993-01,14721062,1.1077393057647607
VIRGINIA,1994-01,15522755,1.1141951927992164
VIRGINIA,1995-01,17040384,1.1145637328360676
VIRGINIA,1996-01,17832931,1.1319858748962803
VIRGINIA,1997-01,19286506,1.2610905780445665
VIRGINIA,1998-01,20529276,1.262505068371627
VIRGINIA,1999-01,22739177,1.1494871164422529
VIRGINIA,2000-01,24313963,1.2095503723518868
VIRGINIA,2001-01,26786593,0.8496836458447702
VIRGINIA,2002-01,28044327,0.8407009018258844
VIRGINIA,2003-01,29129136,0.967603295889037
VIRGINIA,2004-01,30352413,1.1747381666162753
VIRGINIA,2012-01,46759952,0.9225312720594752
VIRGINIA,2013-01,47614065,1.085822267012909
VIRGINIA,2014-01,48941622,1.0890966793049892
VIRGINIA,2015-01,50181974,1.0231895421252262
VIRGINIA,2016-01,52321827,0.9893612086596288
VIRGINIA,2017-01,53523906,1.1086433415378916
VIRGINIA,2018-01,56419046,1.0163074717711462
VIRGINIA,2019-01,59317111,1.1116404843115169
WASHINGTON,1992-01,17316358,1.0328391224066862
WASHINGTON,1993-01,18439421,1.0893580118377904
WASHINGTON,1994-01,19576673,0.9898913875713202
WASHINGTON,1995-01,21200290,1.1120512974114978
WASHINGTON,1996-01,21085737,1.1756767145487967
WASHINGTON,1997-01,22206885,1.2087002747120994
WASHINGTON,1998-01,22879901,1.2229080012190612
WASHINGTON,1999-01,24229780,1.1860226134946334
WASHINGTON,2000-01,25901790,1.1819940629585832
WASHINGTON,2001-01,27824006,0.8498457770602839
WASHINGTON,2002-01,30378008,0.7838934995342683
WASHINGTON,2003-01,32600336,0.9098488432757258
WASHINGTON,2004-01,32479709,1.079308007346987
WASHINGTON,2012-01,45690215,0.8930516741932599
WASHINGTON,2013-01,45003333,1.0887788688895554
WASHINGTON,2014-01,48117245,1.1439206878947454
WASHINGTON,2015-01,50812399,0.984182817268675
WASHINGTON,2016-01,52736997,0.9703587028286802
WASHINGTON,2017-01,56191751,1.169799816346709
WASHINGTON,2018-01,58298035,1.2157044915836357
WASHINGTON,2019-01,61042252,1.1219893394496652
WEST VIRGINIA,1992-01,5261795,1.0361846100047607
WEST VIRGINIA,1993-01,5943099,1.0175590209754204
WEST VIRGINIA,1994-01,6189980,1.0257622803304696
WEST VIRGINIA,1995-01,6261769,1.058668564745841
WEST VIRGINIA,1996-01,6576406,1.0430914697176543
WEST VIRGINIA,1997-01,7145479,1.0449569580989602
WEST VIRGINIA,1998-01,7148810,1.0922679438955574
WEST VIRGINIA,1999-01,7335784,1.0952177708613013
WEST VIRGINIA,2000-01,7551834,1.1376559654250875
WEST VIRGINIA,2001-01,8540103,1.0221896621153164
WEST VIRGINIA,2002-01,9409434,0.9703258453165196
WEST VIRGINIA,2003-01,10003729,0.976254754602009
WEST VIRGINIA,2004-01,9879217,1.1248667784096655
WEST VIRGINIA,2012-01,13222916,1.0018436931763008
WEST VIRGINIA,2013-01,13234175,1.1203739560645072
WEST VIRGINIA,2014-01,13280283,1.1540546236853537
WEST VIRGINIA,2015-01,14252984,0.9661515090454041
WEST VIRGINIA,2016-01,15101059,0.8827566993811493
WEST VIRGINIA,2017-01,14646514,1.109119344029576
WEST VIRGINIA,2018-01,14736212,1.0760022996411833
WEST VIRGINIA,2019-01,15175198,1.0513647993258473
WISCONSIN,1992-01,13595620,1.2951681497423435
WISCONSIN,1993-01,14620876,1.2774084808598336
WISCONSIN,1994-01,15281465,1.2837229938359966
WISCONSIN,1995-01,16301863,1.0321685932460603
WISCONSIN,1996-01,16989913,1.4340947478659838
WISCONSIN,1997-01,18199533,1.310954132724175
WISCONSIN,1998-01,19101351,1.1200563771641074
WISCONSIN,1999-01,20465757,1.384465280223937
WISCONSIN,2000-01,22833463,1.4066562308135213
WISCONSIN,2001-01,24857238,0.7573653597394852
WISCONSIN,2002-01,26749270,0.7803676511545923
WISCONSIN,2003-01,27658175,0.909858947670987
WISCONSIN,2004-01,28577240,1.2206700857045676
WISCONSIN,2012-01,37837615,0.9218858271061746
WISCONSIN,2013-01,37863879,1.229813194786514
WISCONSIN,2014-01,39683644,1.1767285786557302
WISCONSIN,2015-01,40116752,1.0358338082803913
WISCONSIN,2016-01,40442259,0.9073591314471331
WISCONSIN,2017-01,42347211,1.0907189377831754
WISCONSIN,2018-01,41959413,1.3072640220205178
WISCONSIN,2019-01,43699468,0.8694241998552477
WYOMING,1992-01,1925147,1.0516994286670056
WYOMING,1993-01,1886755,1.1558109028464214
WYOMING,1994-01,1974897,1.1686508207769823
WYOMING,1995-01,2045221,1.0951779783211693
WYOMING,1996-01,2062116,1.1385673744832978
WYOMING,1997-01,2126805,1.2032428925077758
WYOMING,1998-01,2172024,1.2214211261017374
WYOMING,1999-01,2372933,1.3031379309908877
WYOMING,2000-01,2552590,2.248826877798628
WYOMING,2001-01,2645226,1.088820388125627
WYOMING,2002-01,2948182,0.939428434201145
WYOMING,2003-01,3264439,1.0424921403034335
WYOMING,2004-01,3596252,1.2817474971164424
WYOMING,2012-01,5523497,1.3433352095601754
WYOMING,2013-01,5601135,1.506387544667286
WYOMING,2014-01,5651263,1.454930163398872
WYOMING,2015-01,6089770,1.3108981127366057
WYOMING,2016-01,6272333,1.028848277028659
WYOMING,2017-01,6445250,1.0861695046739848
WYOMING,2018-01,6308802,1.2129954308282302
WYOMING,2019-01,6159829,0.9953493838871177
