category,period,amount,actual_roi
CONNECTICUT,1993-01,12507289,1.0189303213510137
CONNECTICUT,1994-01,12963972,0.9251362931052304
CONNECTICUT,1995-01,13575807,1.0104473347330292
CONNECTICUT,1996-01,13529622,1.0605977757545628
CONNECTICUT,1997-01,13826021,1.0501777771059366
CONNECTICUT,1998-01,14516273,1.1380605751903399
CONNECTICUT,1999-01,15213482,1.080454034125784
CONNECTICUT,2000-01,16723201,1.0767751939356587
CONNECTICUT,2001-01,18198484,0.9741570231894041
CONNECTICUT,2002-01,20117270,0.8447054197711718
CONNECTICUT,2003-01,20721194,0.880284070502887
CONNECTICUT,2004-01,19528569,0.9724243491676221
CONNECTICUT,2012-01,28457194,0.9605016221908598
CONNECTICUT,2013-01,28914528,1.0739025724369424
CONNECTICUT,2014-01,29864591,1.044430342273899
CONNECTICUT,2015-01,27260850,1.0793361542284998
CONNECTICUT,2016-01,28148820,1.025699656326624
CONNECTICUT,2017-01,27866314,1.3295736924517538
CONNECTICUT,2018-01,28121963,1.3190208308004672
CONNECTICUT,2019-01,28768919,1.3294849903814598
DELAWARE,1992-01,2474886,1.1415548029282965
DELAWARE,1993-01,2556970,1.1248954817616164
DELAWARE,1994-01,2617153,1.2367568881146804
DELAWARE,1995-01,2980188,1.1546956098071666
DELAWARE,1996-01,3248174,1.1126894679903232
DELAWARE,1997-01,3403619,1.2371164340074492
DELAWARE,1998-01,3465428,1.325665112649866
DELAWARE,1999-01,3940802,1.1521626816064345
DELAWARE,2000-01,4210656,1.2259087420107462
DELAWARE,2001-01,4311551,1.186117942243986
DELAWARE,2002-01,4644236,1.0082379534545618
DELAWARE,2003-01,4857901,1.0376298323082336
DELAWARE,2004-01,5387960,1.0621240692210039
DELAWARE,2012-01,8035406,0.9926216547116599
DELAWARE,2013-01,8538142,1.056643939629957
DELAWARE,2014-01,8827126,1.0412350520429865
DELAWARE,2015-01,8854841,0.9226488651800749
DELAWARE,2016-01,9281102,0.8805256099976059
DELAWARE,2017-01,9993666,0.9900199786544798
DELAWARE,2018-01,10070970,1.0646224742998938
DELAWARE,2019-01,10569602,1.016656350920309
FLORIDA,1992-01,27237535,1.0427952823190498
FLORIDA,1993-01,30103196,1.1033951677423222
FLORIDA,1994-01,32283742,1.0780911642770532
FLORIDA,1995-01,34749505,1.0751067964853025
FLORIDA,1996-01,36454217,1.1441446403855005
FLORIDA,1997-01,37463858,1.1059212588303104
FLORIDA,1998-01,39214010,1.3197294538355042
FLORIDA,1999-01,42458875,1.1589743016036105
FLORIDA,2000-01,45207930,1.141861925551557
FLORIDA,2001-01,50264767,0.9225262100588271
FLORIDA,2002-01,51838351,0.9353911739977995
FLORIDA,2003-01,56317331,0.9803839070427539
FLORIDA,2004-01,58410670,1.2787350324863591
FLORIDA,2012-01,80546775,0.9388733689213503
FLORIDA,2013-01,80496743,1.2164632921856229
FLORIDA,2014-01,83123147,1.2725015331770344
FLORIDA,2015-01,84802960,1.0694789663002329
FLORIDA,2016-01,85763417,1.0140072893784071
FLORIDA,2017-01,90521044,1.1930567106583525
FLORIDA,2018-01,97294564,1.1398251602216953
FLORIDA,2019-01,103091862,1.0360654364745105
GEORGIA,1992-01,14053580,1.0503437558259177
GEORGIA,1993-01,15308038,1.0820932767478106
GEORGIA,1994-01,16822841,1.0857054405971025
GEORGIA,1995-01,19154482,1.0589434368415707
GEORGIA,1996-01,20013038,1.1197189052456704
GEORGIA,1997-01,21975372,1.0934263137843583
GEORGIA,1998-01,21735461,1.182730929884579
GEORGIA,1999-01,23203145,1.1911547766477346
GEORGIA,2000-01,24812898,1.1941238383360138
GEORGIA,2001-01,27860155,0.906312940470001
GEORGIA,2002-01,31352991,0.7924762584851952
GEORGIA,2003-01,32526824,0.9184534278538845
GEORGIA,2004-01,34229517,0.990336118385778
GEORGIA,2012-01,43983937,0.8929838181607072
GEORGIA,2013-01,44591375,1.1191271854702842
GEORGIA,2014-01,45531594,1.1691636361336262
GEORGIA,2015-01,45295915,1.0029577060094712
GEORGIA,2016-01,47459456,0.9613170239456601
GEORGIA,2017-01,49613070,1.1871976275606408
GEORGIA,2018-01,51463009,1.130055473437241
GEORGIA,2019-01,53358128,1.1004397680518327
HAWAII,1992-01,5301336,0.9994740948319443
